u,g,r,i,z,y,redshift,mstar
27.1204,26.9485,26.1682,26.0648,25.7414,26.3399,0.458108,7.5787377458218
28.5472,28.87,27.111,26.2467,26.1586,26.0889,0.5783,8.30725850159815
27.2321,26.7018,26.08,25.8237,25.5894,25.1311,0.445091,7.89602605002182
24.0832,23.1977,22.1076,21.8308,21.6415,21.5646,0.411296,9.31671870094942
28.0519,26.7597,25.9036,25.2078,24.4469,24.0449,1.03286,9.65683482299712
22.4762,21.6609,20.8721,20.6364,20.4045,20.3644,0.299388,9.47097174120066
26.763,26.5383,26.2182,26.0389,25.3375,25.1893,1.23345,8.89149620052468
26.2933,26.3804,26.0636,25.3382,25.1045,24.9797,0.976948,8.70635927746686
26.8254,26.7906,26.0804,25.3563,25.0381,24.9073,0.925289,8.63868389706493
27.592,26.9856,26.4063,26.1872,25.6616,25.743,0.378725,7.51274708162127
23.4319,23.2415,22.6724,21.8655,21.3633,21.1806,0.898716,10.5688655696246
26.8058,26.6658,26.6034,26.266,26.2699,25.913,1.75276,8.69746212499469
29.5429,26.3561,25.7218,25.5094,25.2502,24.6039,0.25074,7.38408267988523
27.8205,26.3983,25.4731,25.1851,25.0118,24.7362,0.473939,8.07851481678227
26.9373,27.3203,26.6598,26.5587,26.1634,26.4532,0.370127,6.95033174546302
26.8144,26.9839,26.5706,26.385,25.9868,25.6621,1.0933,8.4673313118832
25.9283,25.9858,25.5823,24.9812,24.7616,24.6725,0.876062,8.69547992529924
25.1221,23.3408,21.9057,21.3873,21.0785,20.8857,0.356295,10.0401630771751
24.9226,24.0158,23.0459,22.7321,22.4265,22.3647,0.31408,8.89166232029131
99,27.7732,26.6923,26.0273,25.654,25.2533,0.6036,8.65287459774948
25.3434,25.0465,24.2115,23.2856,22.7712,22.5205,0.846376,10.1252176812116
28.1015,27.4798,26.8278,25.967,25.4943,24.8181,0.981545,8.68989019356348
27.7232,27.1621,26.0388,25.0359,23.9982,23.3383,1.12989,10.3241733534074
26.6727,25.9335,25.4689,25.4019,25.0586,24.8991,0.306706,7.20205216891206
25.8744,25.9682,25.9008,25.7902,25.5156,24.7286,1.61186,9.23634576695301
26.6271,26.5053,26.0635,25.857,25.3668,24.9068,1.14688,8.74375271352958
27.4041,27.9871,27.2001,26.5412,25.8486,26.0369,0.798991,8.48802586198788
27.7081,27.3443,25.4016,23.6774,22.9929,21.9875,1.3166,11.5955601487954
21.2365,20.462,19.973,19.7046,19.6326,19.553,0.185073,9.28573953943895
28.825,28.387,27.0712,26.1969,25.3034,25.0348,1.10115,8.98099996765237
26.9122,26.2573,25.7954,25.7503,25.6103,26.4167,0.279011,7.02745154287249
23.8798,22.0109,20.4351,19.7876,19.4403,19.2051,0.441757,10.9866445613876
28.2018,28.0576,28.5739,26.9083,26.9577,27.1104,0.725371,7.79972572877688
26.8674,26.7469,26.3123,25.9373,25.1628,24.5757,1.95434,10.7858165415732
25.8836,25.9778,25.2595,24.7226,24.1043,23.8858,1.1001,9.49381342752346
24.2019,22.9077,21.5099,20.8241,20.4845,20.1938,0.486239,10.5876885202797
27.5053,28.0964,27.5847,26.4983,26.3385,25.9824,0.854549,7.94604775048573
29.4932,28.1323,27.4928,26.7134,25.9037,25.7799,1.08802,8.78966178230084
26.9989,26.4534,25.9939,25.4425,25.4681,25.3815,0.689127,7.94552668413533
28.7677,28.5746,28.2473,26.8603,26.5617,25.8681,0.911748,8.19540698824886
25.6186,24.8896,23.8108,23.1232,22.9695,22.7822,0.638237,9.2590321339877
27.4877,27.5652,26.0908,24.9455,23.9845,23.371,1.08991,10.3110520676333
24.5763,24.294,23.5484,22.7385,22.4864,22.2897,0.742567,9.6246203217934
26.3122,25.8978,25.2261,24.6715,23.938,23.5548,1.13104,9.91174337785593
99,27.5986,27.4715,26.4933,25.8589,26.0583,0.823189,8.0603275881435
99,27.7103,26.8413,26.4816,26.3458,26.0743,0.403063,7.5138645630901
26.9208,26.4656,25.9553,25.9111,26.3799,25.567,0.526694,7.35337759488865
30.8488,28.068,26.7443,25.7364,25.0798,24.585,0.98733,9.39702354961661
22.8366,22.829,22.8651,22.789,22.5645,22.5423,1.10583,9.2151535696198
27.0656,27.2167,26.6912,26.1063,25.5402,25.6271,0.792629,8.71879969696033
28.5617,27.153,26.761,26.6906,26.4099,99,0.964275,7.71497485328102
25.6824,25.4454,25.0208,24.6387,24.3732,24.3065,0.709989,8.35433705614664
99,27.6388,27.1427,26.284,25.4009,24.8475,1.16668,9.97095836367535
26.0977,26.1201,25.3025,24.9258,24.8598,24.259,0.562124,8.20089972263555
27.5,27.6077,27.2041,26.8177,26.9299,25.9701,1.62725,9.28499213356809
28.0243,26.7678,25.8606,25.1799,24.8128,24.9536,0.731198,8.61298083344214
27.7749,28.0104,27.683,26.9227,26.5162,25.9135,0.632999,7.96788573344018
26.0898,25.2313,24.5187,24.2382,24.0468,23.8957,0.279606,7.98214228272324
26.8549,26.0416,25.9144,25.4718,25.1297,24.3641,1.53299,9.99403545193772
25.9305,25.977,26.04,26.1898,25.9663,27.8491,1.45642,7.30568233909409
27.7164,26.6951,26.2555,25.5217,25.3878,25.4212,0.7438,8.41770248056346
